,Country,Date,Cases,Year,Pop_den,GNI_per_cap,GDP_per_cap,Month
652,Sierra Leone,2015-12-10,14122.0,2015,99.3614436131893,499.2108166442,588.228862794816,3
653,Sierra Leone,2015-12-11,14122.0,2015,99.3614436131893,499.2108166442,588.228862794816,3
654,Sierra Leone,2015-12-15,14122.0,2015,99.3614436131893,499.2108166442,588.228862794816,3
655,Sierra Leone,2015-12-16,14122.0,2015,99.3614436131893,499.2108166442,588.228862794816,3
656,Sierra Leone,2015-12-17,14122.0,2015,99.3614436131893,499.2108166442,588.228862794816,3
657,Sierra Leone,2015-12-22,14122.0,2015,99.3614436131893,499.2108166442,588.228862794816,3
658,Sierra Leone,2015-12-23,14122.0,2015,99.3614436131893,499.2108166442,588.228862794816,3
659,Sierra Leone,2015-12-29,14122.0,2015,99.3614436131893,499.2108166442,588.228862794816,3
660,United Kingdom,2015-03-10,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
661,United Kingdom,2015-03-06,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
662,United Kingdom,2015-03-05,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
663,United Kingdom,2015-03-04,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
664,United Kingdom,2015-03-02,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
665,United Kingdom,2015-02-27,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
666,United Kingdom,2015-02-26,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
667,United Kingdom,2015-02-25,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
668,United Kingdom,2015-02-23,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
669,United Kingdom,2015-02-20,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
670,United Kingdom,2015-02-19,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
671,United Kingdom,2015-02-18,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
672,United Kingdom,2015-02-17,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
673,United Kingdom,2015-02-16,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
674,United Kingdom,2015-02-13,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
675,United Kingdom,2015-02-12,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
676,United Kingdom,2015-02-11,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
677,United Kingdom,2015-02-10,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
678,United Kingdom,2015-02-06,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
679,United Kingdom,2015-02-05,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
680,United Kingdom,2015-02-04,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
681,United Kingdom,2015-02-03,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
682,United Kingdom,2015-02-02,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
683,United Kingdom,2015-01-30,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
684,United Kingdom,2015-01-29,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
685,United Kingdom,2015-01-28,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
686,United Kingdom,2015-01-27,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
687,United Kingdom,2015-01-26,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
688,United Kingdom,2015-01-23,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
689,United Kingdom,2015-01-22,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
690,United Kingdom,2015-01-21,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
691,United Kingdom,2015-01-20,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
692,United Kingdom,2015-01-19,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
693,United Kingdom,2015-01-16,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
694,United Kingdom,2015-01-15,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
695,United Kingdom,2015-01-14,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
696,United Kingdom,2015-01-07,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
697,United Kingdom,2015-01-06,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
698,United Kingdom,2015-01-05,0.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
699,United Kingdom,2015-01-02,0.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
700,United Kingdom,2015-03-11,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
701,United Kingdom,2015-03-12,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
702,United Kingdom,2015-03-13,1.0,2015,269.153139337825,37646.7590653091,45404.5677734722,3
